Disassembly of section .text:

00000000001d64b0 <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch>:
  1d64b0:	55                                              	push   %rbp
  1d65bc:	4d 89 cf                                        	mov    %r9,%r15
  1d65bf:	49 89 fd                                        	mov    %rdi,%r13
  1d65c2:	4c 89 c5                                        	mov    %r8,%rbp
  1d65c5:	4c 89 c7                                        	mov    %r8,%rdi
  1d65c8:	48 c1 ef 30                                     	shr    $0x30,%rdi
  1d65cc:	44 0f b6 c7                                     	movzbl %dil,%r8d
  1d65d0:	48 8d 7c 24 08                                  	lea    0x8(%rsp),%rdi
  1d65d5:	49 89 f1                                        	mov    %rsi,%r9
  1d65d8:	48 89 c6                                        	mov    %rax,%rsi
  1d65db:	48 89 d0                                        	mov    %rdx,%rax
  1d65de:	4c 89 f2                                        	mov    %r14,%rdx
  1d65e1:	49 89 ca                                        	mov    %rcx,%r10
  1d65e4:	48 89 d9                                        	mov    %rbx,%rcx
  1d65e7:	41 52                                           	push   %r10
  1d65e9:	50                                              	push   %rax
  1d65ea:	e8 21 5e 00 00                                  	call   1dc410 <<emuella_j2k_tier1::CodeBlockEncodeScratch>::prepare_strided_with_max>
  1d65ef:	48 83 c4 10                                     	add    $0x10,%rsp
  1d65f3:	0f 10 44 24 48                                  	movups 0x48(%rsp),%xmm0
  1d65f8:	0f 29 84 24 a0 00 00 00                         	movaps %xmm0,0xa0(%rsp)
  1d6600:	0f 10 44 24 08                                  	movups 0x8(%rsp),%xmm0
  1d6605:	0f 10 4c 24 18                                  	movups 0x18(%rsp),%xmm1
  1d660a:	0f 10 54 24 28                                  	movups 0x28(%rsp),%xmm2
  1d660f:	0f 10 5c 24 38                                  	movups 0x38(%rsp),%xmm3
  1d6614:	0f 29 9c 24 90 00 00 00                         	movaps %xmm3,0x90(%rsp)
  1d661c:	0f 29 94 24 80 00 00 00                         	movaps %xmm2,0x80(%rsp)
  1d6624:	0f 29 4c 24 70                                  	movaps %xmm1,0x70(%rsp)
  1d6629:	0f 29 44 24 60                                  	movaps %xmm0,0x60(%rsp)
  1d662e:	8b 54 24 58                                     	mov    0x58(%rsp),%edx
  1d6632:	85 d2                                           	test   %edx,%edx
  1d6634:	74 34                                           	je     1d666a <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0x1ba>
  1d6636:	48 b8 00 00 00 00 ff ff ff ff                   	movabs $0xffffffff00000000,%rax
  1d6640:	48 21 c5                                        	and    %rax,%rbp
  1d6643:	c1 e3 10                                        	shl    $0x10,%ebx
  1d6646:	48 09 eb                                        	or     %rbp,%rbx
  1d6649:	4c 09 f3                                        	or     %r14,%rbx
  1d664c:	48 8d 74 24 60                                  	lea    0x60(%rsp),%rsi
  1d6651:	4c 89 ef                                        	mov    %r13,%rdi
  1d6654:	48 89 d9                                        	mov    %rbx,%rcx
  1d6657:	4d 89 f8                                        	mov    %r15,%r8
  1d665a:	45 31 c9                                        	xor    %r9d,%r9d
  1d665d:	e8 fe c5 ff ff                                  	call   1d2c60 <emuella_j2k_tier1::encode_prepared_baseline_code_block>
  1d6662:	4c 89 ef                                        	mov    %r13,%rdi
  1d6665:	e9 85 fe ff ff                                  	jmp    1d64ef <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0x3f>
  1d666a:	4c 89 ef                                        	mov    %r13,%rdi
  1d666d:	49 c7 45 08 00 00 00 00                         	movq   $0x0,0x8(%r13)
  1d6675:	66 41 c7 45 10 00 00                            	movw   $0x0,0x10(%r13)
  1d667c:	45 88 65 12                                     	mov    %r12b,0x12(%r13)
  1d6680:	41 c6 45 13 00                                  	movb   $0x0,0x13(%r13)
  1d6685:	41 c6 45 00 ff                                  	movb   $0xff,0x0(%r13)
  1d668a:	e9 60 fe ff ff                                  	jmp    1d64ef <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0x3f>
  1d668f:	c6 07 03                                        	movb   $0x3,(%rdi)
  1d6692:	48 8d 05 e6 c1 e4 ff                            	lea    -0x1b3e1a(%rip),%rax        # 2287f <anon.7546d0c498ce2385869105782ec2390d.101.llvm.8852433796898213389>
  1d6699:	48 89 47 08                                     	mov    %rax,0x8(%rdi)
  1d669d:	48 c7 47 10 30 00 00 00                         	movq   $0x30,0x10(%rdi)
  1d66a5:	e9 45 fe ff ff                                  	jmp    1d64ef <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0x3f>
